timestamp	count_txn
2017-12-31       8210
2018-01-31      16660
2018-02-28      22476
2018-03-31      36742
2018-04-30      49639
2018-05-31      97386
2018-06-30      76529
2018-07-31      58693
2018-08-31      95609
2018-09-30      93267
2018-10-31     112994
2018-11-30     181984
2018-12-31     229542
2019-01-31     154046
2019-02-28     107601
2019-03-31      86564
2019-04-30     132406
2019-05-31     196429
2019-06-30     194855
2019-07-31     310237
2019-08-31     228416
2019-09-30     154462
2019-10-31     199657
2019-11-30     235637
2019-12-31     206634
2020-01-31     263110
2020-02-29     310910
2020-03-31     271288
2020-04-30     196727
2020-05-31     216002
2020-06-30     613596
2020-07-31    1481712
2020-08-31    3275455
2020-09-30    4436305
2020-10-31    4467655
2020-11-30    3871768
2020-12-31    4216605
2021-01-31    3897719
2021-02-28    4084900
2021-03-31    1150568
